co_natureza_juridica,ds_natureza_juridica,co_organizacao_n1,ds_organizacao_n1,co_organizacao_n2,ds_organizacao_n2,co_organizacao_n3,ds_organizacao_n3,an_lanc,me_lanc,id_conta_contabil,no_conta_contabil,va_custo_depreciacao
3,ADMINISTRACAO DIRETA,52303,CONTROLADORIA-GERAL DA UNIAO,1375,CONTROLADORIA REGIONAL DA UNIAO NO ESTADO DO PARA,-9,NAO SE APLICA,2015,12,333110200,DEPRECIACAO DE BENS IMOVEIS,1224.96
3,ADMINISTRACAO DIRETA,52303,CONTROLADORIA-GERAL DA UNIAO,1370,CONTROLADORIA REGIONAL DA UNIAO NO ESTADO DE GOIAS,-9,NAO SE APLICA,2015,11,333110100,DEPRECIACAO DE BENS MOVEIS,9302.11
3,ADMINISTRACAO DIRETA,52303,CONTROLADORIA-GERAL DA UNIAO,1371,CONTROLADORIA REGIONAL DA UNIAO NO ESTADO DO MARANHAO,-9,NAO SE APLICA,2015,4,333110200,DEPRECIACAO DE BENS IMOVEIS,0.0
4,AUTARQUIA,244,MINISTERIO DA EDUCACAO,104667,UNIVERSIDADE FEDERAL DO OESTE DO PARA,-9,NAO SE APLICA,2015,3,333110100,DEPRECIACAO DE BENS MOVEIS,298159.03
4,AUTARQUIA,3159,MINISTERIO DAS COMUNICACOES,25064,AGENCIA NACIONAL DE TELECOMUNICACOES,-9,NAO SE APLICA,2015,6,333210200,AMORTIZACAO DE INTANGIVEL,479455.29
4,AUTARQUIA,244,MINISTERIO DA EDUCACAO,100922,"INSTITUTO FEDERAL DE EDUCACAO, CIENCIA E TECNOLOGIA DE PERNAMBUCO",-9,NAO SE APLICA,2015,5,333110200,DEPRECIACAO DE BENS IMOVEIS,0.0
4,AUTARQUIA,244,MINISTERIO DA EDUCACAO,100903,"INSTITUTO FEDERAL DE EDUCACAO, CIENCIA E TECNOLOGIA DO TRIANGULO MINEIRO",-9,NAO SE APLICA,2015,12,333110100,DEPRECIACAO DE BENS MOVEIS,72088.66
4,AUTARQUIA,244,MINISTERIO DA EDUCACAO,454,UNIVERSIDADE TECNOLOGICA FEDERAL DO PARANA,-9,NAO SE APLICA,2015,7,333110200,DEPRECIACAO DE BENS IMOVEIS,0.0
4,AUTARQUIA,244,MINISTERIO DA EDUCACAO,420,UNIVERSIDADE FEDERAL DE ALAGOAS,-9,NAO SE APLICA,2015,11,333110100,DEPRECIACAO DE BENS MOVEIS,677328.59
2,FUNDACAO PUBLICA,2981,"MINISTERIO DO PLANEJAMENTO, ORCAMENTO E GESTAO",7,FUNDACAO INSTITUTO DE PESQUISA ECONOMICA APLICADA,-9,NAO SE APLICA,2015,4,333110100,DEPRECIACAO DE BENS MOVEIS,138397.22
3,ADMINISTRACAO DIRETA,1988,"MINISTERIO DA CIENCIA, TECNOLOGIA E INOVACAO",346,OBSERVATORIO NACIONAL,-9,NAO SE APLICA,2015,9,333110200,DEPRECIACAO DE BENS IMOVEIS,0.0
4,AUTARQUIA,42670,MINISTERIO DA INTEGRACAO NACIONAL,91144,SUPERINTENDENCIA DO DESENVOLVIMENTO DO NORDESTE,-9,NAO SE APLICA,2015,12,333110200,DEPRECIACAO DE BENS IMOVEIS,25432.75
4,AUTARQUIA,244,MINISTERIO DA EDUCACAO,100903,"INSTITUTO FEDERAL DE EDUCACAO, CIENCIA E TECNOLOGIA DO TRIANGULO MINEIRO",-9,NAO SE APLICA,2015,10,333110200,DEPRECIACAO DE BENS IMOVEIS,0.0
4,AUTARQUIA,244,MINISTERIO DA EDUCACAO,417,UNIVERSIDADE FEDERAL DO RIO GRANDE DO NORTE,-9,NAO SE APLICA,2015,9,333110200,DEPRECIACAO DE BENS IMOVEIS,0.0
4,AUTARQUIA,244,MINISTERIO DA EDUCACAO,100901,"INSTITUTO FEDERAL DE EDUCACAO, CIENCIA E TECNOLOGIA DO NORTE DE MINAS GERAIS",-9,NAO SE APLICA,2015,8,333110100,DEPRECIACAO DE BENS MOVEIS,35246.08
4,AUTARQUIA,244,MINISTERIO DA EDUCACAO,424,UNIVERSIDADE FEDERAL DE JUIZ DE FORA,-9,NAO SE APLICA,2015,10,333110200,DEPRECIACAO DE BENS IMOVEIS,0.0
3,ADMINISTRACAO DIRETA,14,"MINISTERIO DA AGRICULTURA, PECUARIA E ABASTECIMENTO",2808,"SUPERINTENDENCIA FEDERAL DE AGRICULTURA, PECUARIA E ABASTECIMENTO NO ESTADO DO RIO GRANDE DO NORTE",-9,NAO SE APLICA,2015,5,333110100,DEPRECIACAO DE BENS MOVEIS,29391.07
3,ADMINISTRACAO DIRETA,1929,MINISTERIO DA FAZENDA,344,ESCOLA DE ADMINISTRACAO FAZENDARIA,-9,NAO SE APLICA,2015,6,333110100,DEPRECIACAO DE BENS MOVEIS,43371.72
3,ADMINISTRACAO DIRETA,2844,MINISTERIO DO TRABALHO E PREVIDENCIA SOCIAL,2877,SUPERINTENDENCIA REGIONAL DO TRABALHO E EMPREGO EM MATO GROSSO,-9,NAO SE APLICA,2015,3,333110200,DEPRECIACAO DE BENS IMOVEIS,143.13
3,ADMINISTRACAO DIRETA,52303,CONTROLADORIA-GERAL DA UNIAO,9853,CONTROLADORIA REGIONAL DA UNIAO NO ESTADO DE SAO PAULO,-9,NAO SE APLICA,2015,3,333110100,DEPRECIACAO DE BENS MOVEIS,9182.74
1,EMPRESA PUBLICA,42670,MINISTERIO DA INTEGRACAO NACIONAL,169,COMPANHIA DE DESENVOLVIMENTO DOS VALES DO SAO FRANCISCO E DO PARNAIBA,-9,NAO SE APLICA,2015,11,333110100,DEPRECIACAO DE BENS MOVEIS,122198.77
3,ADMINISTRACAO DIRETA,52303,CONTROLADORIA-GERAL DA UNIAO,9848,CONTROLADORIA REGIONAL DA UNIAO NO ESTADO DO RIO DE JANEIRO,-9,NAO SE APLICA,2015,9,333110100,DEPRECIACAO DE BENS MOVEIS,12170.38
1,EMPRESA PUBLICA,244,MINISTERIO DA EDUCACAO,117267,EMPRESA BRASILEIRA DE SERVICOS HOSPITALARES,-9,NAO SE APLICA,2015,3,333110100,DEPRECIACAO DE BENS MOVEIS,615352.62
3,ADMINISTRACAO DIRETA,14,"MINISTERIO DA AGRICULTURA, PECUARIA E ABASTECIMENTO",18,COMISSAO EXECUTIVA DO PLANO DA LAVOURA CACAUEIRA,-9,NAO SE APLICA,2015,1,333110100,DEPRECIACAO DE BENS MOVEIS,66046.42
4,AUTARQUIA,244,MINISTERIO DA EDUCACAO,84710,UNIVERSIDADE FEDERAL DO RECONCAVO DA BAHIA,-9,NAO SE APLICA,2015,1,333110100,DEPRECIACAO DE BENS MOVEIS,0.0
1,EMPRESA PUBLICA,1988,"MINISTERIO DA CIENCIA, TECNOLOGIA E INOVACAO",98519,CENTRO NACIONAL DE TECNOLOGIA ELETRONICA AVANCADA S. A,-9,NAO SE APLICA,2015,10,333210100,AMORTIZACAO DE IMOBILIZADO,1566.84
4,AUTARQUIA,244,MINISTERIO DA EDUCACAO,458,UNIVERSIDADE FEDERAL RURAL DO SEMI-ARIDO,-9,NAO SE APLICA,2015,5,333110200,DEPRECIACAO DE BENS IMOVEIS,0.0
3,ADMINISTRACAO DIRETA,2844,MINISTERIO DO TRABALHO E PREVIDENCIA SOCIAL,3496,SUPERINTENDENCIA REGIONAL DO TRABALHO E EMPREGO NA PARAIBA,-9,NAO SE APLICA,2015,10,333110100,DEPRECIACAO DE BENS MOVEIS,0.0
4,AUTARQUIA,244,MINISTERIO DA EDUCACAO,461,UNIVERSIDADE FEDERAL DE ALFENAS,-9,NAO SE APLICA,2015,4,333110200,DEPRECIACAO DE BENS IMOVEIS,0.0
4,AUTARQUIA,1927,MINISTERIO DO MEIO AMBIENTE,1913,INSTITUTO DE PESQUISAS JARDIM BOTANICO DO RIO DE JANEIRO,-9,NAO SE APLICA,2015,12,333110200,DEPRECIACAO DE BENS IMOVEIS,-1209.32
4,AUTARQUIA,1929,MINISTERIO DA FAZENDA,235,SUPERINTENDENCIA DE SEGUROS PRIVADOS,-9,NAO SE APLICA,2015,3,333110200,DEPRECIACAO DE BENS IMOVEIS,5631.87
3,ADMINISTRACAO DIRETA,1988,"MINISTERIO DA CIENCIA, TECNOLOGIA E INOVACAO",232,INSTITUTO NACIONAL DE TECNOLOGIA,-9,NAO SE APLICA,2015,7,333110200,DEPRECIACAO DE BENS IMOVEIS,0.0
4,AUTARQUIA,244,MINISTERIO DA EDUCACAO,415,UNIVERSIDADE FEDERAL DO PARA,-9,NAO SE APLICA,2015,8,333110200,DEPRECIACAO DE BENS IMOVEIS,0.0
2,FUNDACAO PUBLICA,244,MINISTERIO DA EDUCACAO,1710,FUNDACAO UNIVERSIDADE FEDERAL DO AMAPA,-9,NAO SE APLICA,2015,10,333110200,DEPRECIACAO DE BENS IMOVEIS,0.0
4,AUTARQUIA,316,MINISTERIO DA JUSTICA,322,CONSELHO ADMINISTRATIVO DE DEFESA ECONOMICA,-9,NAO SE APLICA,2015,6,333110100,DEPRECIACAO DE BENS MOVEIS,88024.28
4,AUTARQUIA,42670,MINISTERIO DA INTEGRACAO NACIONAL,91144,SUPERINTENDENCIA DO DESENVOLVIMENTO DO NORDESTE,-9,NAO SE APLICA,2015,5,333210200,AMORTIZACAO DE INTANGIVEL,105.72
2,FUNDACAO PUBLICA,244,MINISTERIO DA EDUCACAO,827,FUNDACAO UNIVERSIDADE FEDERAL DE MATO GROSSO DO SUL,-9,NAO SE APLICA,2015,7,333110200,DEPRECIACAO DE BENS IMOVEIS,0.0
3,ADMINISTRACAO DIRETA,52303,CONTROLADORIA-GERAL DA UNIAO,45939,CONTROLADORIA REGIONAL DA UNIAO NO ESTADO DO AMAPA,-9,NAO SE APLICA,2015,5,333110100,DEPRECIACAO DE BENS MOVEIS,4045.0
4,AUTARQUIA,244,MINISTERIO DA EDUCACAO,100901,"INSTITUTO FEDERAL DE EDUCACAO, CIENCIA E TECNOLOGIA DO NORTE DE MINAS GERAIS",-9,NAO SE APLICA,2015,9,333110100,DEPRECIACAO DE BENS MOVEIS,75286.03
4,AUTARQUIA,244,MINISTERIO DA EDUCACAO,448,CENTRO FEDERAL DE EDUCACAO TECNOLOGICA - CELSO SUCKOW DA FONSECA -,-9,NAO SE APLICA,2015,10,333110200,DEPRECIACAO DE BENS IMOVEIS,0.0
4,AUTARQUIA,244,MINISTERIO DA EDUCACAO,100918,"INSTITUTO FEDERAL DE EDUCACAO, CIENCIA E TECNOLOGIA DO RIO GRANDE DO SUL",-9,NAO SE APLICA,2015,6,333110200,DEPRECIACAO DE BENS IMOVEIS,0.0
4,AUTARQUIA,244,MINISTERIO DA EDUCACAO,431,UNIVERSIDADE FEDERAL DE SANTA MARIA,-9,NAO SE APLICA,2015,9,333110100,DEPRECIACAO DE BENS MOVEIS,778358.48
4,AUTARQUIA,244,MINISTERIO DA EDUCACAO,420,UNIVERSIDADE FEDERAL DE ALAGOAS,-9,NAO SE APLICA,2015,4,333110100,DEPRECIACAO DE BENS MOVEIS,440712.4
1,EMPRESA PUBLICA,14,"MINISTERIO DA AGRICULTURA, PECUARIA E ABASTECIMENTO",2114,COMPANHIA NACIONAL DE ABASTECIMENTO,-9,NAO SE APLICA,2015,7,333110100,DEPRECIACAO DE BENS MOVEIS,394667.01
