co_natureza_juridica,ds_natureza_juridica,co_organizacao_n1,ds_organizacao_n1,co_organizacao_n2,ds_organizacao_n2,co_organizacao_n3,ds_organizacao_n3,an_lanc,me_lanc,va_custo_pessoal_inativo
3,ADMINISTRACAO DIRETA,41066,MINISTERIO DA DEFESA,36,ESCOLA SUPERIOR DE GUERRA,120588,CAMPUS RIO DE JANEIRO,2018,1,242059.16
3,ADMINISTRACAO DIRETA,41066,MINISTERIO DA DEFESA,36,ESCOLA SUPERIOR DE GUERRA,120588,CAMPUS RIO DE JANEIRO,2018,4,242059.16
3,ADMINISTRACAO DIRETA,41066,MINISTERIO DA DEFESA,36,ESCOLA SUPERIOR DE GUERRA,120588,CAMPUS RIO DE JANEIRO,2018,3,242059.16
3,ADMINISTRACAO DIRETA,41066,MINISTERIO DA DEFESA,36,ESCOLA SUPERIOR DE GUERRA,120588,CAMPUS RIO DE JANEIRO,2018,11,242059.16
3,ADMINISTRACAO DIRETA,41066,MINISTERIO DA DEFESA,36,ESCOLA SUPERIOR DE GUERRA,120588,CAMPUS RIO DE JANEIRO,2018,6,242059.16
3,ADMINISTRACAO DIRETA,41066,MINISTERIO DA DEFESA,36,ESCOLA SUPERIOR DE GUERRA,120588,CAMPUS RIO DE JANEIRO,2018,10,242059.16
3,ADMINISTRACAO DIRETA,41066,MINISTERIO DA DEFESA,36,ESCOLA SUPERIOR DE GUERRA,120588,CAMPUS RIO DE JANEIRO,2018,5,242059.16
3,ADMINISTRACAO DIRETA,267175,"MINISTERIO DA CIENCIA, TECNOLOGIA E INOVACOES",11,INSTITUTO NACIONAL DE PESQUISAS DA AMAZONIA,-9,NAO SE APLICA,2020,3,72731.66
3,ADMINISTRACAO DIRETA,267175,"MINISTERIO DA CIENCIA, TECNOLOGIA E INOVACOES",11,INSTITUTO NACIONAL DE PESQUISAS DA AMAZONIA,-9,NAO SE APLICA,2020,11,72731.66
3,ADMINISTRACAO DIRETA,267175,"MINISTERIO DA CIENCIA, TECNOLOGIA E INOVACOES",10,INSTITUTO NACIONAL DE PESQUISAS ESPACIAIS,-9,NAO SE APLICA,2020,12,10539.98
3,ADMINISTRACAO DIRETA,267175,"MINISTERIO DA CIENCIA, TECNOLOGIA E INOVACOES",10,INSTITUTO NACIONAL DE PESQUISAS ESPACIAIS,-9,NAO SE APLICA,2020,10,10539.98
3,ADMINISTRACAO DIRETA,267175,"MINISTERIO DA CIENCIA, TECNOLOGIA E INOVACOES",10,INSTITUTO NACIONAL DE PESQUISAS ESPACIAIS,-9,NAO SE APLICA,2020,11,10539.98
2,FUNDACAO PUBLICA,267175,"MINISTERIO DA CIENCIA, TECNOLOGIA E INOVACOES",8,CONSELHO NACIONAL DE DESENVOLVIMENTO CIENTIFICO E TECNOLOGICO,-9,NAO SE APLICA,2020,9,5475445.9
2,FUNDACAO PUBLICA,267175,"MINISTERIO DA CIENCIA, TECNOLOGIA E INOVACOES",8,CONSELHO NACIONAL DE DESENVOLVIMENTO CIENTIFICO E TECNOLOGICO,-9,NAO SE APLICA,2020,10,4159381.79
